"event_id","league","home","away","time","game_url","month","day","hour","minute","crontab_cmd","sofascore_url"
"20200313FRI30","Cup Competition","Patronato","San Lorenzo","2020-03-14 08:10:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=9883389d-624e-401b-82b8-538f866ab145","3","14","8","10","10 8 14 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200313FRI30
","https://www.sofascore.com/brisbane-roar-central-coast-mariners/qucstuc"
"20200314SAT1","Australian Division 1","Sydney FC","Perth Glory","2020-03-14 14:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=74839e3a-63bd-4cb7-bcb4-ba62eaaf4e72","3","14","14","0","0 14 14 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200314SAT1
","https://www.sofascore.com/sydney-fc-perth-glory/Vibswuc"
"20200314SAT2","Australian Division 1","Melbourne City","Western Sydney Wanderers","2020-03-14 16:30:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=598e7211-d7cc-4ad4-a7ac-080d485f5df8","3","14","16","30","30 16 14 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200314SAT2
","https://www.sofascore.com/western-sydney-wanderers-melbourne-city/kUqsBiE"
"20200314SAT48","Chilean Division 1","Cobresal","Universidad Catolica","2020-03-14 23:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=c37d2c82-e2a0-453f-b193-50c7bbecc6aa","3","14","23","0","0 23 14 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200314SAT48
","https://www.sofascore.com/cobresal-universidad-catolica/bnbsrnb"
"20200314SAT71","Cup Competition","Independiente","Velez Sarsfield","2020-03-15 02:30:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=3c346f89-f209-4d8d-9925-a02370606ef9","3","15","2","30","30 2 15 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200314SAT71
","https://www.sofascore.com/independiente-velez-sarsfield/iobsjob"
"20200314SAT94","Chilean Division 1","Everton VM","La Serena","2020-03-15 07:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=4451bc53-11fe-4333-863d-f645b30ea9ef","3","15","7","0","0 7 15 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200314SAT94
","https://www.sofascore.com/everton-de-vina-del-mar-deportes-la-serena/GacsHac"
"20200314SAT99","Mexican Premier","Club Leon","Pumas UNAM","2020-03-15 09:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=925e225d-75da-4b80-b10e-9f2117bba5a6","3","15","9","0","0 9 15 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200314SAT99
","https://www.sofascore.com/club-leon-pumas-unam/INsJFo"
"20200315SUN1","Australian Division 1","Wellington Phoenix","Melbourne Victory","2020-03-15 13:20:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=e85e0a55-20a1-4733-b5fb-e55311b59a65","3","15","13","20","20 13 15 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200315SUN1
","https://www.sofascore.com/wellington-phoenix-melbourne-victory/vucstbd"
"20200315SUN2","Australian Division 1","Adelaide Utd","Newcastle Jets","2020-03-15 15:20:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=904e3f2b-d062-4f7e-be12-6837829fa349","3","15","15","20","20 15 15 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200315SUN2
","https://www.sofascore.com/adelaide-united-newcastle-jets/JibsWib"
"20200315SUN24","Chilean Division 1","Coquimbo Unido","Iquique","2020-03-15 23:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=cf007459-b5b0-40ab-8c1e-f40e140f34b9","3","15","23","0","0 23 15 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200315SUN24
","https://www.sofascore.com/deportes-iquique-coquimbo-unido/pnbsWwn"
"20200315SUN38","Cup Competition","Huracan","Talleres","2020-03-16 02:30:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=e9fac09a-3d6b-476a-9833-6290c5c5b35e","3","16","2","30","30 2 16 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200315SUN38
","https://www.sofascore.com/ca-huracan-talleres/kobsEcd"
"20200315SUN49","Mexican Premier","Santos Laguna","Necaxa","2020-03-16 08:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=2ec5c581-c0c4-405f-889c-1f3a39fcbe2e","3","16","8","0","0 8 16 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200315SUN49
","https://www.sofascore.com/santos-laguna-club-necaxa/UNsYN"
"20200315SUN50","Cup Competition","CA Central Cordoba","Newell's Old Boys","2020-03-16 09:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=70ff6915-50c4-434e-af3b-8402bfbcee40","3","16","9","0","0 9 16 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200315SUN50
","https://www.sofascore.com/central-cordoba-newells-old-boys/mobsBnB"
"20200316MON6","Chilean Division 1","O'Higgins","Antofagasta","2020-03-17 05:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=db046c68-203e-4119-a8fc-4060b75e47ff","3","17","5","0","0 5 17 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200316MON6
","https://www.sofascore.com/club-de-deportes-antofagasta-ohiggins/nnbsbmc"
"20200316MON7","Cup Competition","Lanus","Argentinos Juniors","2020-03-17 06:00:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=575e9266-fed5-443a-b1d0-c1a7cfd73d14","3","17","6","0","0 6 17 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200316MON7
","https://www.sofascore.com/lanus-argentinos-juniors/qobstob"
"20200316MON9","Chilean Division 1","Curico Unido","Union La Calera","2020-03-17 07:30:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=facd646c-c50d-4c48-af24-58a2d084f9b7","3","17","7","30","30 7 17 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200316MON9
","https://www.sofascore.com/union-la-calera-curico-unido/VwnsRou"
"20200316MON10","Cup Competition","Rosario Central","Colon","2020-03-17 08:10:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=32f5114f-442c-4c0f-a3f8-2f3386a312c4","3","17","8","10","10 8 17 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200316MON10
","https://www.sofascore.com/rosario-central-colon-de-santa-fe/hobsrob"
"20200320FRI1","Australian Division 1","Central Coast Mariners","Melbourne City","2020-03-20 14:30:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=91c67091-9a98-4c19-9845-c4b3cd755916","3","20","14","30","30 14 20 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200320FRI1
","https://www.sofascore.com/central-coast-mariners-melbourne-city/qucskUq"
"20200320FRI2","Australian Division 1","Brisbane Roar","Newcastle Jets","2020-03-20 16:30:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=4731403e-6622-4970-855f-1ede92d5c478","3","20","16","30","30 16 20 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200320FRI2
","https://www.sofascore.com/brisbane-roar-newcastle-jets/Jibstuc"
"20200321SAT1","Australian Division 1","Western Sydney Wanderers","Sydney FC","2020-03-21 16:30:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=ec78e8f0-55c1-42a3-a0a0-a217bb5188b3","3","21","16","30","30 16 21 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200321SAT1
","https://www.sofascore.com/western-sydney-wanderers-sydney-fc/wucsBiE"
"20200323MON2","Australian Division 1","Perth Glory","Western Utd","2020-03-23 18:30:00","https://bet.hkjc.com/football/odds/odds_inplay_all.aspx?lang=EN&tmatchid=3b444498-d5ea-4db9-a65c-d5b28c903039","3","23","18","30","30 18 23 3 * cd /Users/TysonWu/dev/odds-crawl-app/odds-crawl-app/development/data_collection/ && /opt/anaconda3/bin/python crawler.py --event_id 20200323MON2
","https://www.sofascore.com/perth-glory-western-united/VibsyzCb"